ID	NAME	D
1	Diamond Lake	M239.49,628.47c-3.47-.33-7,.14-10.49-.13-7.79-.6-9.91,6.35-7.56,11.47,2.11,4.6,2.73,9.69,5.62,14.05,1.82,2.74-1.09,3.15-3.15,3.16-8.5,0-17,0-25.5,0-8.33,0-16.67-.14-25,.08-3.94.1-5.61-1.28-5.06-5.21,1.7-12.28.74-24.63.82-36.94,0-4.24,1-5.22,5.46-4.72,9.61,1.09,19.22-1.2,28.91-.77a252.51,252.51,0,0,0,33.9-1c4.08-.36,5.74,1.15,5.54,5.39-.16,3.28.48,6.62.84,9.92S243.28,628.83,239.49,628.47Z
2	Wenonah	M312.78,607.87c-.44,6.8-.7,13.62-.87,20.44-.09,3.17-1.82,3.86-4.54,3.83-6.49-.07-13,0-22,0-7.11-.44-16.79.81-26.32-1.83a8.76,8.76,0,0,0-9.32,3.24c-1.37,1.74-2.48,1.05-2.47-.73,0-10-2-19.88-.92-29.88.3-2.81,2.28-3.49,4.67-3.31,6.84.5,13.82-1.43,20.5,2.37,2.42,1.39,6.19.5,9.34.51,8.83,0,17.65.09,26.47-.17C311.55,602.19,313,603.79,312.78,607.87Z
3	Morris Park	M355,606.83c-.14,8.14-.19,16.28-.2,24.42,0,2.68-1.13,4.07-3.87,4-4-.17-5.41,2-5.06,5.62.44,4.55-1.79,5.94-5.93,5.53-3.52-.35-8.29,1.41-7.87-5.07.09-1.31.22-3.3-.95-3.68-3.62-1.18-5.21-3.24-5.73-7.13-.26-2-2.69-.69-4.17.06-5,2.53-6,1.89-6.07-3.72,0-6.48.14-13,0-19.44-.09-3.61,1.21-5.16,4.91-5,5.14.18,10.3,0,15.45,0v.13c5,0,10,.08,15,0C353.58,602.42,355.1,603.57,355,606.83Z
4	Minnehaha	M382.27,599.24c-10.27,0-19.52,0-28.76,0-11,0-22-.21-33,0-4.17.06-5.91-1.43-5.31-5.52,1.41-9.61.73-19.28.72-28.91,0-4.22,1.78-4.92,5.62-5.51,11.32-1.73,19.18,2.89,25.31,11.87,1.87,2.74,4.22,5.15,6.24,7.8,3.76,5,7.63,9.15,14.56,10.24C373.19,590.06,377.73,594,382.27,599.24Z
5	Keewaydin	M311.21,587.14c2,2,1.5,4.3,1.5,6.56,0,5.23-3.1,7.38-7.62,4.76-3.36-1.94-6-1.14-9.33-.18a47.43,47.43,0,0,1-22.73.42,89.65,89.65,0,0,0-19.72-1.48c-4.63,0-6.65-1.19-6.44-6.16.37-8.82.34-17.66.21-26.49-.06-3.94,1.42-5.22,5.31-5.13,9.15.22,18.32.07,27.48.07v-.06c9.33,0,18.67.11,28-.06,3.7-.06,5.24,1.37,4.91,5-.54,6,1.4,12.27-2.08,18A4.07,4.07,0,0,0,311.21,587.14Z
6	Hale	M243.82,584.59h-.12c0,5.49,0,11,0,16.49,0,3-1.05,5.16-4.67,5-10-.33-19.89,1.46-29.9,1.1-4.14-.14-6.3-.69-5.25-5.54,1-4.45-.68-8.93-.67-13.42,0-8.11,2.53-11.4,10.27-13.9,4.28-1.4,8.11-4.13,13.09-3.19,1.62.31,3.33-1.14,4.59-2.64a21.56,21.56,0,0,1,4.3-4.13c3.93-2.66,8.23-.49,8.34,4.19C243.92,573.92,243.82,579.25,243.82,584.59Z
7	Page	M195,605.41c-3.91-.77-8.44,2.17-12.95,2.17-.81,0-1.63.34-2.45.4-8.26.56-10.33-1.35-10.33-9.51,0-3-.06-6,0-9,.11-4.88,2.83-7.71,7.8-7.47,3,.15,4-1,4.67-3.73,1.24-5.38,5.41-6.6,9.59-2.89,2.23,2,4.13,4.21,7.5,4.41,1.91.11,1.85,2.05,1.89,3.55,0,1.66,0,3.32,0,5s0,3.32,0,5h0c0,1.83,0,3.66,0,5.49C200.77,602.64,202.29,606.87,195,605.41Z
8	Field	M200.76,572.35c0,1.48.13,3.13-1.49,3.95-2,1-3-.63-4.25-1.69-2.07-1.83-3.63-4.27-6.91-4.43-3.78-.18-6.94.39-8.6,4.29a7.17,7.17,0,0,1-1.57,2.52,7.62,7.62,0,0,1-6.42,2c-2.4-.47-1.28-3.06-1.34-4.71-.16-4-.05-8-.05-11.95h.12c0-4.15.1-8.31,0-12.45-.09-3.13,1.09-4.57,4.34-4.52q11,.15,21.92,0c3.27,0,4.37,1.45,4.33,4.55C200.71,557.41,200.79,564.88,200.76,572.35Z
9	Regina	M200.21,537.21c1.25,2.92.48,4.91-3.11,4.92h-12c-14.89,0-14.91,0-14.87-14.78,0-3.13-.79-6.9.64-9.24,1.59-2.58,5.51.06,8.37-.62,5.56-1.33,11.23-.91,16.86-.87,4.51,0,5.79,1.9,4.06,5.85A17.72,17.72,0,0,0,200.21,537.21Z
10	Northrop	M243.2,540c1.49,6,.5,12.53.46,18.84,0,1.52-1.28,1.78-2.57,1.48-5.39-1.24-8.75,2.11-12.07,5.41-1.06,1-2,2.88-3.47,2.53-7.46-1.75-12.67,3.22-18.69,5.85-3.13,1.36-2.74-1.34-2.76-2.92-.09-8.48,0-17,0-25.43h.11c0-8,.13-16,0-23.94-.09-3.75,1-5.62,5.07-5.27,10.11.89,20.25.73,30.38.83,4.05,0,6,4.39,3.79,9.47C241.42,531.4,242,535.26,243.2,540Z
11	Ericsson	M330.25,555.5c-.86,1.6-3.7.63-5.64.64-9,.07-18,0-26.94,0-8.82,0-17.66.4-26.44-.12-7.14-.42-14.19-2.13-21.42-1.06-2.21.33-2.79-.93-2.76-3,.11-8,.15-16,0-24,0-.44.53-1.51.79-3a18.27,18.27,0,0,0,0-5.54c1.85-.67,2.7-.47,3.12-.08,1.16,1.07-.33,4.09.82,4.85a1.5,1.5,0,0,0,1.23,0c3.78-1.09,24.27-.25,31,.32,1,.08,3.75.13,5.11-1.23a4.65,4.65,0,0,0,1.15-3.26c.09-2.21,1.83-2.5,3.61-2.5,4.49,0,9,.08,13.47,0,2.89-.08,4,1.74,5.12,3.93q6.3,12.74,12.73,25.4c.6,1.18,1.49,2.2,2.14,3.36C328.41,552,331.37,553.39,330.25,555.5Z
